;token_dai_balance;token_dai_weight;token_dai_denorm_weight;token_weth_balance;token_weth_weight;token_weth_denorm_weight;generated_fees;pool_shares;token_dai_price;token_weth_price;token_weth_spot_price;action_type;change_datetime;simulation;subset;run;substep;timestep
3081;10122210.107723309;20;10;69539.31731379313;80;40;0.0;99.99868647395374;1.0038745;561.6;0.002257954539103413200091633333;swap;2020-12-10T18:42:45+00:00;0;0;1;1;1541
3082;10122210.107723309;20;10;69539.31731379313;80;40;0.0;99.99868647395374;1.0038745;561.6;0.002257954539103413200091633333;swap;2020-12-10T18:42:45+00:00;0;0;1;2;1541
3083;10122210.107723309;20;10;69539.31731379313;80;40;0.0;99.99868647395374;1.0037175;561.145;0.002257954539103413200091633333;external_price_update;2020-12-10T18:45:00+00:00;0;0;1;1;1542
3084;10122210.107723309;20;10;69539.31731379313;80;40;0.0;99.99868647395374;1.0037175;561.145;0.002257954539103413200091633333;external_price_update;2020-12-10T18:45:00+00:00;0;0;1;2;1542
3085;10122210.107723309;20;10;69539.31731379313;80;40;0.0;99.99868647395374;1.003613999999999;560.72;0.002257954539103413200091633333;external_price_update;2020-12-10T18:50:00+00:00;0;0;1;1;1543
3086;10122210.107723309;20;10;69539.31731379313;80;40;0.0;99.99868647395374;1.003613999999999;560.72;0.002257954539103413200091633333;external_price_update;2020-12-10T18:50:00+00:00;0;0;1;2;1543
3087;10122882.240209986;20;10;69538.39383795069;80;40;0.0;99.99868647395374;1.003613999999999;560.72;0.002257954539103413200091633333;swap;2020-12-10T18:51:28+00:00;0;0;1;1;1544
3088;10122882.240209986;20;10;69538.39383795069;80;40;0.0;99.99868647395374;1.003613999999999;560.72;0.002257954539103413200091633333;swap;2020-12-10T18:51:28+00:00;0;0;1;2;1544
3089;10122882.240209986;20;10;69538.39383795069;80;40;0.0;99.99868647395374;1.003571;560.875;0.002257954539103413200091633333;external_price_update;2020-12-10T18:55:00+00:00;0;0;1;1;1545
3090;10122882.240209986;20;10;69538.39383795069;80;40;0.0;99.99868647395374;1.003571;560.875;0.002257954539103413200091633333;external_price_update;2020-12-10T18:55:00+00:00;0;0;1;2;1545
3091;10107489.383819794;20;10;69571.4690568708;80;40;0.0;99.99868647395374;1.003571;560.875;0.002257954539103413200091633333;swap;2020-12-10T18:59:07+00:00;0;0;1;1;1546
3092;10107489.383819794;20;10;69571.4690568708;80;40;0.0;99.99868647395374;1.003571;560.875;0.002257954539103413200091633333;swap;2020-12-10T18:59:07+00:00;0;0;1;2;1546
3093;10107489.383819794;20;10;69571.4690568708;80;40;0.0;99.99868647395374;1.0035265;560.97;0.002257954539103413200091633333;external_price_update;2020-12-10T19:00:00+00:00;0;0;1;1;1547
3094;10107489.383819794;20;10;69571.4690568708;80;40;0.0;99.99868647395374;1.0035265;560.97;0.002257954539103413200091633333;external_price_update;2020-12-10T19:00:00+00:00;0;0;1;2;1547
3095;10107589.383819794;20;10;69571.33139434698;80;40;0.0;99.99868647395374;1.0035265;560.97;0.002257954539103413200091633333;swap;2020-12-10T19:01:51+00:00;0;0;1;1;1548
3096;10107589.383819794;20;10;69571.33139434698;80;40;0.0;99.99868647395374;1.0035265;560.97;0.002257954539103413200091633333;swap;2020-12-10T19:01:51+00:00;0;0;1;2;1548
3097;10107589.383819794;20;10;69571.33139434698;80;40;0.0;99.99868647395374;1.003486;560.355;0.002257954539103413200091633333;external_price_update;2020-12-10T19:05:00+00:00;0;0;1;1;1549
3098;10107589.383819794;20;10;69571.33139434698;80;40;0.0;99.99868647395374;1.003486;560.355;0.002257954539103413200091633333;external_price_update;2020-12-10T19:05:00+00:00;0;0;1;2;1549
3099;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.003486;560.355;0.002257954539103413200091633333;swap;2020-12-10T19:06:47+00:00;0;0;1;1;1550
3100;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.003486;560.355;0.002257954539103413200091633333;swap;2020-12-10T19:06:47+00:00;0;0;1;2;1550
3101;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.00359;559.73;0.002257954539103413200091633333;external_price_update;2020-12-10T19:10:00+00:00;0;0;1;1;1551
3102;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.00359;559.73;0.002257954539103413200091633333;external_price_update;2020-12-10T19:10:00+00:00;0;0;1;2;1551
3103;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.003344499999999;559.19;0.002257954539103413200091633333;external_price_update;2020-12-10T19:15:00+00:00;0;0;1;1;1552
3104;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.003344499999999;559.19;0.002257954539103413200091633333;external_price_update;2020-12-10T19:15:00+00:00;0;0;1;2;1552
3105;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.0034505;558.895;0.002257954539103413200091633333;external_price_update;2020-12-10T19:20:00+00:00;0;0;1;1;1553
3106;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.0034505;558.895;0.002257954539103413200091633333;external_price_update;2020-12-10T19:20:00+00:00;0;0;1;2;1553
3107;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;external_price_update;2020-12-10T19:25:00+00:00;0;0;1;1;1554
3108;10107752.939937027;20;10;69571.10624224911;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;external_price_update;2020-12-10T19:25:00+00:00;0;0;1;2;1554
3109;10107846.970477529;20;10;69570.97680144593;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;swap;2020-12-10T19:27:38+00:00;0;0;1;1;1555
3110;10107846.970477529;20;10;69570.97680144593;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;swap;2020-12-10T19:27:38+00:00;0;0;1;2;1555
3111;10112846.970477529;20;10;69564.09563526485;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;swap;2020-12-10T19:27:52+00:00;0;0;1;1;1556
3112;10112846.970477529;20;10;69564.09563526485;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;swap;2020-12-10T19:27:52+00:00;0;0;1;2;1556
3113;10109543.274001304;20;10;69571.19877822333;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;swap;2020-12-10T19:29:18+00:00;0;0;1;1;1557
3114;10109543.274001304;20;10;69571.19877822333;80;40;0.0;99.99868647395374;1.003495;559.64;0.002257954539103413200091633333;swap;2020-12-10T19:29:18+00:00;0;0;1;2;1557
3115;10109543.274001304;20;10;69571.19877822333;80;40;0.0;99.99868647395374;1.003908;560.255;0.002257954539103413200091633333;external_price_update;2020-12-10T19:30:00+00:00;0;0;1;1;1558
3116;10109543.274001304;20;10;69571.19877822333;80;40;0.0;99.99868647395374;1.003908;560.255;0.002257954539103413200091633333;external_price_update;2020-12-10T19:30:00+00:00;0;0;1;2;1558
3117;10109544.274001304;20;10;69571.19740187639;80;40;0.0;99.99868647395374;1.003908;560.255;0.002257954539103413200091633333;swap;2020-12-10T19:32:35+00:00;0;0;1;1;1559
3118;10109544.274001304;20;10;69571.19740187639;80;40;0.0;99.99868647395374;1.003908;560.255;0.002257954539103413200091633333;swap;2020-12-10T19:32:35+00:00;0;0;1;2;1559
3119;10109544.274001304;20;10;69571.19740187639;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;external_price_update;2020-12-10T19:35:00+00:00;0;0;1;1;1560
3120;10109544.274001304;20;10;69571.19740187639;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;external_price_update;2020-12-10T19:35:00+00:00;0;0;1;2;1560
3121;10109545.274001304;20;10;69571.1960255296;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;swap;2020-12-10T19:39:38+00:00;0;0;1;1;1561
3122;10109545.274001304;20;10;69571.1960255296;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;swap;2020-12-10T19:39:38+00:00;0;0;1;2;1561
3123;10109546.274001304;20;10;69571.19464918297;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;swap;2020-12-10T19:39:38+00:00;0;0;1;1;1562
3124;10109546.274001304;20;10;69571.19464918297;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;swap;2020-12-10T19:39:38+00:00;0;0;1;2;1562
3125;10109547.274001304;20;10;69571.1932728365;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;swap;2020-12-10T19:39:45+00:00;0;0;1;1;1563
3126;10109547.274001304;20;10;69571.1932728365;80;40;0.0;99.99868647395374;1.003492;559.675;0.002257954539103413200091633333;swap;2020-12-10T19:39:45+00:00;0;0;1;2;1563
3127;10109547.274001304;20;10;69571.1932728365;80;40;0.0;99.99868647395374;1.004129;559.145;0.002257954539103413200091633333;external_price_update;2020-12-10T19:40:00+00:00;0;0;1;1;1564
3128;10109547.274001304;20;10;69571.1932728365;80;40;0.0;99.99868647395374;1.004129;559.145;0.002257954539103413200091633333;external_price_update;2020-12-10T19:40:00+00:00;0;0;1;2;1564
3129;10109547.274001304;20;10;69571.1932728365;80;40;0.0;99.99868647395374;1.003786;560.12;0.002257954539103413200091633333;external_price_update;2020-12-10T19:45:00+00:00;0;0;1;1;1565
3130;10109547.274001304;20;10;69571.1932728365;80;40;0.0;99.99868647395374;1.003786;560.12;0.002257954539103413200091633333;external_price_update;2020-12-10T19:45:00+00:00;0;0;1;2;1565
3131;10119547.274001304;20;10;69557.43661229823;80;40;0.0;99.99868647395374;1.003786;560.12;0.002257954539103413200091633333;swap;2020-12-10T19:45:42+00:00;0;0;1;1;1566
3132;10119547.274001304;20;10;69557.43661229823;80;40;0.0;99.99868647395374;1.003786;560.12;0.002257954539103413200091633333;swap;2020-12-10T19:45:42+00:00;0;0;1;2;1566
3133;10119547.274001304;20;10;69557.43661229823;80;40;0.0;99.99868647395374;1.004043;561.115;0.002257954539103413200091633333;external_price_update;2020-12-10T19:50:00+00:00;0;0;1;1;1567
3134;10119547.274001304;20;10;69557.43661229823;80;40;0.0;99.99868647395374;1.004043;561.115;0.002257954539103413200091633333;external_price_update;2020-12-10T19:50:00+00:00;0;0;1;2;1567
3135;10119547.274001304;20;10;69557.43661229823;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;external_price_update;2020-12-10T19:55:00+00:00;0;0;1;1;1568
3136;10119547.274001304;20;10;69557.43661229823;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;external_price_update;2020-12-10T19:55:00+00:00;0;0;1;2;1568
3137;10130764.761104535;20;10;69542.02431258315;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;swap;2020-12-10T19:57:20+00:00;0;0;1;1;1569
3138;10130764.761104535;20;10;69542.02431258315;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;swap;2020-12-10T19:57:20+00:00;0;0;1;2;1569
3139;10143509.828240598;20;10;69524.5377616381;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;swap;2020-12-10T19:59:23+00:00;0;0;1;1;1570
3140;10143509.828240598;20;10;69524.5377616381;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;swap;2020-12-10T19:59:23+00:00;0;0;1;2;1570
3141;10143998.106811196;20;10;69523.86843661242;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;swap;2020-12-10T19:59:23+00:00;0;0;1;1;1571
3142;10143998.106811196;20;10;69523.86843661242;80;40;0.0;99.99868647395374;1.003841;561.51;0.002257954539103413200091633333;swap;2020-12-10T19:59:23+00:00;0;0;1;2;1571
3143;10143998.106811196;20;10;69523.86843661242;80;40;0.0;99.99868647395374;1.004403;561.875;0.002257954539103413200091633333;external_price_update;2020-12-10T20:00:00+00:00;0;0;1;1;1572
3144;10143998.106811196;20;10;69523.86843661242;80;40;0.0;99.99868647395374;1.004403;561.875;0.002257954539103413200091633333;external_price_update;2020-12-10T20:00:00+00:00;0;0;1;2;1572
3145;10140385.858747177;20;10;69531.60679839949;80;40;0.0;99.99868647395374;1.004403;561.875;0.002257954539103413200091633333;swap;2020-12-10T20:01:39+00:00;0;0;1;1;1573
3146;10140385.858747177;20;10;69531.60679839949;80;40;0.0;99.99868647395374;1.004403;561.875;0.002257954539103413200091633333;swap;2020-12-10T20:01:39+00:00;0;0;1;2;1573
3147;10150785.074759541;20;10;69517.35283071786;80;40;0.0;99.99868647395374;1.004403;561.875;0.002257954539103413200091633333;swap;2020-12-10T20:02:47+00:00;0;0;1;1;1574
3148;10150785.074759541;20;10;69517.35283071786;80;40;0.0;99.99868647395374;1.004403;561.875;0.002257954539103413200091633333;swap;2020-12-10T20:02:47+00:00;0;0;1;2;1574
3149;10150785.074759541;20;10;69517.35283071786;80;40;0.0;99.99868647395374;1.0046075;562.12;0.002257954539103413200091633333;external_price_update;2020-12-10T20:05:00+00:00;0;0;1;1;1575
3150;10150785.074759541;20;10;69517.35283071786;80;40;0.0;99.99868647395374;1.0046075;562.12;0.002257954539103413200091633333;external_price_update;2020-12-10T20:05:00+00:00;0;0;1;2;1575
3151;10166175.069697917;20;10;69496.28921050335;80;40;0.0;99.99868647395374;1.0046075;562.12;0.002257954539103413200091633333;swap;2020-12-10T20:06:02+00:00;0;0;1;1;1576
3152;10166175.069697917;20;10;69496.28921050335;80;40;0.0;99.99868647395374;1.0046075;562.12;0.002257954539103413200091633333;swap;2020-12-10T20:06:02+00:00;0;0;1;2;1576
3153;10171776.507477725;20;10;69488.63299902367;80;40;0.0;99.99868647395374;1.0046075;562.12;0.002257954539103413200091633333;swap;2020-12-10T20:06:46+00:00;0;0;1;1;1577
